T,Pressure,Tpot,Tdew,Rh,Sh,Date
0.75,1008.76,273.22,-1.44,85.2,3.39,01-Jan-20 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,01-Jan-20 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,01-Jan-20 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,01-Jan-20 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,01-Jan-20 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,01-Jan-20 01:20:00
0.11,1008.29,272.63,-1.61,88.1,3.35,01-Jan-20 01:30:00
0.22,1008.28,272.73,-1.62,87.4,3.35,01-Jan-20 01:40:00
-0.04,1008.24,272.48,-1.85,87.5,3.29,01-Jan-20 01:50:00
-0.21,1008.32,272.3,-1.78,89.1,3.31,01-Jan-20 02:00:00
-0.1,1008.24,272.42,-1.74,88.6,3.32,01-Jan-20 02:10:00
-0.16,1008.35,272.35,-1.88,88.1,3.29,01-Jan-20 02:20:00
-0.22,1008.3,272.3,-1.82,88.9,3.3,01-Jan-20 02:30:00
-0.06,1008.4,272.45,-1.77,88.2,3.32,01-Jan-20 02:40:00
-0.17,1008.39,272.34,-1.81,88.6,3.3,01-Jan-20 02:50:00
0.75,1008.76,273.22,-1.44,85.2,3.39,01-Jan-20 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,01-Jan-20 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,01-Jan-20 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,01-Jan-20 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,01-Jan-20 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,01-Jan-20 01:20:00
0.11,1008.29,272.63,-1.61,88.1,3.35,01-Jan-20 01:30:00
0.22,1008.28,272.73,-1.62,87.4,3.35,01-Jan-20 01:40:00
-0.04,1008.24,272.48,-1.85,87.5,3.29,01-Jan-20 01:50:00
-0.21,1008.32,272.3,-1.78,89.1,3.31,01-Jan-20 02:00:00
-0.1,1008.24,272.42,-1.74,88.6,3.32,01-Jan-20 02:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,1/1/2020 01:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,1/1/2020 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,1/1/2020 01:20:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,1/1/2020 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,1/1/2020 01:20:00
0.11,1008.29,272.63,-1.61,88.1,3.35,1/1/2020 01:30:00
0.22,1008.28,272.73,-1.62,87.4,3.35,1/1/2020 01:40:00
-0.04,1008.24,272.48,-1.85,87.5,3.29,1/1/2020 01:50:00
-0.21,1008.32,272.3,-1.78,89.1,3.31,1/1/2020 02:00:00
-0.1,1008.24,272.42,-1.74,88.6,3.32,1/1/2020 02:10:00
-0.16,1008.35,272.35,-1.88,88.1,3.29,1/1/2020 02:20:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,1/1/2020 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,1/1/2020 01:20:00
0.11,1008.29,272.63,-1.61,88.1,3.35,1/1/2020 01:30:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
11,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
1,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
1,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
0.34,1008.44,272.84,-1.54,87.1,3.37,1/1/2020 01:00:00
0.19,1008.49,272.69,-1.65,87.4,3.34,1/1/2020 01:10:00
0.03,1008.4,272.53,-1.7,88.1,3.33,1/1/2020 01:20:00
0.11,1008.29,272.63,-1.61,88.1,3.35,1/1/2020 01:30:00
0.22,1008.28,272.73,-1.62,87.4,3.35,1/1/2020 01:40:00
-0.04,1008.24,272.48,-1.85,87.5,3.29,1/1/2020 01:50:00
-0.21,1008.32,272.3,-1.78,89.1,3.31,1/1/2020 02:00:00
-0.1,1008.24,272.42,-1.74,88.6,3.32,1/1/2020 02:10:00
-0.16,1008.35,272.35,-1.88,88.1,3.29,1/1/2020 02:20:00
-0.22,1008.3,272.3,-1.82,88.9,3.3,1/1/2020 02:30:00
-0.06,1008.4,272.45,-1.77,88.2,3.32,1/1/2020 02:40:00
-0.17,1008.39,272.34,-1.81,88.6,3.3,1/1/2020 02:50:00
-0.05,1008.46,272.45,-1.71,88.5,3.33,1/1/2020 03:00:00
-0.21,1008.15,272.31,-1.84,88.7,3.3,1/1/2020 03:10:00
-0.77,1008.07,271.77,-2.31,89.2,3.18,1/1/2020 03:20:00
-0.93,1008.12,271.61,-2.26,90.6,3.2,1/1/2020 03:30:00
-0.86,1008.04,271.68,-2.17,90.8,3.22,1/1/2020 03:40:00
-0.87,1008.16,271.66,-2.16,90.9,3.22,1/1/2020 03:50:00
-1.02,1008,271.52,-2.31,90.9,3.19,1/1/2020 04:00:00
-1.15,1007.76,271.41,-2.37,91.4,3.17,1/1/2020 04:10:00
-1.08,1007.84,271.47,-2.25,91.7,3.2,1/1/2020 04:20:00
-1.59,1007.85,270.96,-2.93,90.5,3.04,1/1/2020 04:30:00
1,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00
0.75,1008.76,273.22,-1.44,85.2,3.39,1/1/2020 00:20:00
0.73,1008.66,273.21,-1.48,85.1,3.39,1/1/2020 00:30:00
0.33,1008.61,272.82,-1.5,87.4,3.38,1/1/2020 00:50:00
