T,Pressure,Tpot,Tdew,Rh,Sh,Date,Error
55551,1008.89,273.18,-1.33,86.1,3.42,01-Jan-20 00:10:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,01-Jan-20 00:10:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,01-Jan-20 00:10:00,Temperature must be in range -50 to 50
55152137,1008.64,272.86,-1.64,86.3,3.35,01-Jan-20 00:40:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,01-Jan-20 00:10:00,Temperature must be in range -50 to 50
55152137,1008.64,272.86,-1.64,86.3,3.35,01-Jan-20 00:40:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55551,1008.89,273.18,-1.33,86.1,3.42,1/1/2020 00:10:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
55152137,1008.64,272.86,-1.64,86.3,3.35,1/1/2020 00:40:00,Temperature must be in range -50 to 50.
